SJF Non-Preemptive Zaman Tablosu
[1657] -- P158 -- [1675]
[1675] -- P178 -- [1693]
[1693] -- P198 -- [1711]
[1711] -- P019 -- [1730]
[1730] -- P039 -- [1749]
[1749] -- P059 -- [1768]
[1768] -- P079 -- [1787]
[1787] -- P099 -- [1806]
[1806] -- P119 -- [1825]
[1825] -- P139 -- [1844]
[1844] -- P159 -- [1863]
[1863] -- P179 -- [1882]
[1882] -- P199 -- [1901]
[1901] -- P020 -- [1921]
[1921] -- P040 -- [1941]
[1941] -- P060 -- [1961]
[1961] -- P080 -- [1981]
[1981] -- P100 -- [2001]
[2001] -- P120 -- [2021]
[2021] -- P140 -- [2041]
[2041] -- P160 -- [2061]
[2061] -- P180 -- [2081]
[2081] -- P200 -- [2101]

Waiting Time
Average: 537.425
Maximum: 1863

Turnaround Time
Average: 547.925
Maximum: 1883

Throughput
T=50 -> 11
T=100 -> 22
T=150 -> 32
T=200 -> 42

CPU Utilization: %99.99048162954503
Total Context Switch: 200
